SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1835 N Halsted St #10,Chicago,IL,60614,699900,2,2.5,CHI - Lincoln Park,,,,1,,391,Active,October-8-2022 10:00 AM,October-8-2022 12:00 PM,https://www.redfin.com/IL/Chicago/1835-N-Halsted-St-60614/unit-10/home/13347546,MRED,11646216,N,Y,41.9147636,-87.6481434
MLS Listing,,Single Family Residential,600 E 88th Pl,Chicago,IL,60619,185000,3,1.0,CHI - Chatham,1154,3123,1940,1,160,,Active,,,https://www.redfin.com/IL/Chicago/600-E-88th-Pl-60619/home/13112225,MRED,11646214,N,Y,41.7340574,-87.6094389
MLS Listing,,Condo/Co-op,523 N Racine Ave #4,Chicago,IL,60642,425000,2,2.0,CHI - West Town,1500,,2004,1,283,197,Active,October-8-2022 12:30 PM,October-8-2022 02:00 PM,https://www.redfin.com/IL/Chicago/523-N-Racine-Ave-60642/unit-4/home/12640500,MRED,11646215,N,Y,41.8918482,-87.6571388
MLS Listing,,Multi-Family (2-4 Unit),1243 S 61st Ave,Cicero,IL,60804,399900,6,3.0,Cicero,,3920,1961,1,,,Active,,,https://www.redfin.com/IL/Cicero/1243-S-61st-Ave-60804/home/13242589,MRED,11646207,N,Y,41.8639279,-87.7763044
MLS Listing,,Multi-Family (2-4 Unit),5212 S King Dr S,Chicago,IL,60615,890000,15,11.0,CHI - Washington Park,,,1908,1,,,Active,,,https://www.redfin.com/IL/Chicago/5212-S-King-Dr-60615/home/13949957,MRED,11646204,N,Y,41.799819,-87.616567
MLS Listing,,Condo/Co-op,1255 N Sandburg Ter #209,Chicago,IL,60610,229000,1,1.0,CHI - Near North Side,750,,1969,1,305,511,Active,,,https://www.redfin.com/IL/Chicago/1255-N-Sandburg-Ter-60610/unit-209/home/182149798,MRED,11646197,N,Y,41.9054286,-87.6319398
MLS Listing,,Condo/Co-op,6171 N Sheridan Rd #1309,Chicago,IL,60660,158000,1,1.0,CHI - Edgewater,,,,1,,543,Active,,,https://www.redfin.com/IL/Chicago/6171-N-Sheridan-Rd-60660/unit-1309/home/13413384,MRED,11646196,N,Y,41.9944051,-87.6549099
MLS Listing,,Multi-Family (2-4 Unit),3087 N Elbridge Ave,Chicago,IL,60618,1499900,7,6.0,CHI - Avondale,,,1910,1,,,Active,October-8-2022 11:00 AM,October-8-2022 12:30 PM,https://www.redfin.com/IL/Chicago/3087-N-Elbridge-Ave-60618/home/13448613,MRED,11626672,N,Y,41.9369879,-87.7146639
MLS Listing,,Vacant Land,1532 S Kolin Ave,Chicago,IL,60623,30000,,,Lawndale,,3484,,1,,,Active,,,https://www.redfin.com/IL/Chicago/1532-S-Kolin-Ave-60623/home/147909153,MRED,11646193,N,Y,41.859605,-87.733883
MLS Listing,,Vacant Land,5518 S Bishop St,Chicago,IL,60636,30000,,,CHI - West Englewood,,2613,,1,,,Active,,,https://www.redfin.com/IL/Chicago/5518-S-Bishop-St-60636/home/148048997,MRED,11646189,N,Y,41.7930711,-87.6612064
MLS Listing,,Single Family Residential,1338 W 99th St,Chicago,IL,60643,349900,5,3.0,CHI - Washington Heights,3000,3624,,1,117,,Active,,,https://www.redfin.com/IL/Chicago/1338-W-99th-St-60643/home/13097224,MRED,11646178,N,Y,41.7142651,-87.656668
MLS Listing,,Single Family Residential,6943 N Tonty Ave,Chicago,IL,60646,695000,4,2.5,Wildwood,2121,,1965,1,328,,Active,,,https://www.redfin.com/IL/Chicago/6943-N-Tonty-Ave-60646/home/13593122,MRED,11646177,N,Y,42.0070751,-87.7746038
MLS Listing,,Single Family Residential,1935 N Dayton St,Chicago,IL,60614,1799000,5,5.5,CHI - Lincoln Park,5470,,,1,329,,Active,October-16-2022 11:30 AM,October-16-2022 01:00 PM,https://www.redfin.com/IL/Chicago/1935-N-Dayton-St-60614/home/13350834,MRED,11646173,N,Y,41.9170554,-87.649397
MLS Listing,,Single Family Residential,8004 S Wabash Ave,Chicago,IL,60619,280000,3,2.0,CHI - Chatham,4850,,1953,1,58,,Active,,,https://www.redfin.com/IL/Chicago/8004-S-Wabash-Ave-60619/home/13227177,MRED,11646171,N,Y,41.7489257,-87.6232526
